MISSION ELAPSED TIME (min),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH]
612.1453722,-68182.52645,-21830.5414,-8460.480461
612.1787899,-68183.21835,-21832.27492,-8461.831192
612.2122076,-68183.90996,-21834.00835,-8463.181887
612.2456253,-68184.60128,-21835.74169,-8464.532546
612.279043,-68185.29231,-21837.47493,-8465.883168
612.3124607,-68185.98305,-21839.20808,-8467.233755
612.3458784,-68186.67349,-21840.94114,-8468.584305
612.3792961,-68187.36364,-21842.6741,-8469.934818
612.4127138,-68188.0535,-21844.40697,-8471.285296
612.4461315,-68188.74307,-21846.13974,-8472.635737
612.4795492,-68189.43235,-21847.87242,-8473.986142
612.5129669,-68190.12134,-21849.60501,-8475.33651
612.5463846,-68190.81004,-21851.33751,-8476.686842
612.5798023,-68191.49844,-21853.06991,-8478.037138
612.61322,-68192.18655,-21854.80222,-8479.387398
612.6466377,-68192.87437,-21856.53443,-8480.737621
612.6800554,-68193.5619,-21858.26655,-8482.087808
612.713473,-68194.24914,-21859.99858,-8483.437959
612.7468907,-68194.93609,-21861.73051,-8484.788073
612.7803084,-68195.62275,-21863.46235,-8486.138151
612.8137261,-68196.30911,-21865.1941,-8487.488193
612.8471438,-68196.99518,-21866.92575,-8488.838198
612.8805615,-68197.68096,-21868.65731,-8490.188167
612.9139792,-68198.36646,-21870.38878,-8491.5381
612.9473969,-68199.05165,-21872.12015,-8492.887996
612.9808146,-68199.73656,-21873.85143,-8494.237856
613.0142323,-68200.42118,-21875.58262,-8495.58768
613.04765,-68201.1055,-21877.31371,-8496.937467
613.0810677,-68201.78954,-21879.04471,-8498.287218
613.1144854,-68202.47328,-21880.77562,-8499.636932
613.1479031,-68203.15673,-21882.50643,-8500.98661
613.1813208,-68203.83989,-21884.23715,-8502.336252
613.2147385,-68204.52276,-21885.96777,-8503.685857
613.2481562,-68205.20534,-21887.6983,-8505.035426
613.2815739,-68205.88763,-21889.42874,-8506.384958
613.3149916,-68206.56963,-21891.15908,-8507.734454
613.3484093,-68207.25133,-21892.88933,-8509.083914
613.381827,-68207.93274,-21894.61949,-8510.433337
613.4152447,-68208.61387,-21896.34955,-8511.782723
